Top Neutral,Neutral Count,Top Negative,Negative Count,Top Positive,Positive Count,All,All Count,month
matter,7,black,12,madonna,3,matter,17,June
like,6,people,12,love,2,black,14,June
lives,5,matter,9,forever,2,lives,14,June
toy,5,lives,8,wowthat,1,people,14,June
thats,3,said,5,inspiring,1,like,8,June
gay,3,racist,5,incredible,1,want,7,June
pa,3,want,5,speech,1,dont,6,June
girls,3,police,5,saved,1,said,6,June
dont,2,im,4,day,1,im,6,June
people,2,blm,4,world,1,blm,5,June
anywhere,2,dont,4,needs,1,agree,5,June
everyone,2,white,4,looks,1,say,5,June
feel,2,god,4,stunning,1,see,5,June
see,2,know,3,also,1,racist,5,June
answer,2,race,3,said,1,madonna,5,June
agree,2,think,3,michael,1,police,5,June
lgbt,2,make,3,jackson,1,toy,5,June
im,2,agree,3,genuine,1,thats,4,June
want,2,person,3,candid,1,think,4,June
sheriff,2,say,3,evolving,1,make,4,June
clark,2,even,3,everything,1,white,4,June
say,2,believe,3,lives,1,person,4,June
women,2,see,3,matter,1,gay,4,June
right,2,brutality,3,scarrrry,1,love,4,June
much,2,justice,3,times,1,god,4,June
black,2,stop,3,potentiallylooking,1,get,4,June
boys,2,never,2,ahead,1,know,3,July
likei,1,sorry,2,possible,1,race,3,July
statue,1,trying,2,4,1,saying,3,July
generation,1,racism,2,yearsof,1,wrong,3,July
